
Active Connections

  Proto  Local Address          Foreign Address        State
  UDP    [::]:62140             *:*                    
  UDP    [::]:62285             *:*                    
  UDP    [::]:63525             *:*                    
  UDP    [::]:63541             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:50949            *:*                    
  UDP    [fe80::6484:1667:ad25:c605%2]:1900  *:*                    
  UDP    [fe80::6484:1667:ad25:c605%2]:2177  *:*                    
  UDP    [fe80::6484:1667:ad25:c605%2]:50947  *:*                    
  UDP    [fe80::b68f:a86e:e440:69e0%15]:1900  *:*                    
  UDP    [fe80::b68f:a86e:e440:69e0%15]:2177  *:*                    
  UDP    [fe80::b68f:a86e:e440:69e0%15]:50948  *:*                    
  UDP    [fe80::c0d8:11e5:a989:e022%54]:1900  *:*                    
  UDP    [fe80::c0d8:11e5:a989:e022%54]:2177  *:*                    
  UDP    [fe80::c0d8:11e5:a989:e022%54]:50950  *:*                    
  UDP    [fe80::c316:d5a2:e59:cb64%19]:1900  *:*                    
  UDP    [fe80::c316:d5a2:e59:cb64%19]:2177  *:*                    
  UDP    [fe80::c316:d5a2:e59:cb64%19]:50946  *:*                    
  UDP    [fe80::d357:6102:3d8d:c8bb%67]:1900  *:*                    
  UDP    [fe80::d357:6102:3d8d:c8bb%67]:2177  *:*                    
  UDP    [fe80::d357:6102:3d8d:c8bb%67]:50951  *:*                    
